id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
4770,5983412166617732873,-3198371207479440448,145,706986751636,-1004482228130,8694,8,0,8
2849,5938502910533965172,-829655930857151807,804,867935070956,-1004482228130,6385,5,0,5
10274,5792175294609627742,1282821316316379007,488,547168561028,-1004482228130,16810,14,0,14
10234,4904477332019871966,-1206986726173354648,295,245143586034,-1004482228130,16744,9,1,10
4784,6019245418070676509,4523962455846175328,"2116,2117",438071472030,-1004482228130,8714,0,0,0
4785,5821171997509424329,-3372398701146672922,2118,332049503008,-1004482228130,8716,0,0,0
4780,5983412166617732898,5586849334341001813,26,971657212338,-1004482228130,8707,4,0,4
4790,6028513678322570167,8039318574695411892,2120,438071472030,-1004482228130,8724,0,0,0
4792,6017119310474909160,3131179477484942336,95,958249908971,-1004482228130,8726,4,0,4
4800,5827751608234027412,442178543093910148,"2122,913",929819142165,-1004482228130,8735,0,0,0
4797,5960732879574008862,-270716930793739695,519,218093200747,-1004482228130,8732,3,0,3
